# rho (g/cm^3)  P (dynes/cm^2)  n_B (cm^-3) Z A gamma (adiabatic index)
1.044E4	9.744E18	6.295E27	26	56	1.796
2.622E4	4.968E19	1.581E28	26	56	1.744
6.587E4	2.431E20	3.972E28	26	56	1.706
1.654E5	1.151E21	9.976E28	26	56	1.670
4.156E5	5.266E21	2.506E29	26	56	1.631
1.044E6	2.318E22	6.294E29	26	56	1.586
2.622E6	9.755E22	1.581E30	26	56	1.534
6.588E6	3.911E23	3.972E30	26	56	1.482
8.293E6	5.259E23	5.000E30	28	62	1.471
1.655E7	1.435E24	9.976E30	28	62	1.437
3.302E7	3.833E24	1.990E31	28	62	1.408
6.589E7	1.006E25	3.972E31	28	62	1.386
1.315E8	2.604E25	7.924E31	28	62	1.369
2.624E8	6.676E25	1.581E32	28	62	1.357
3.304E8	8.738E25	1.990E32	28	64	1.355
5.237E8	1.629E26	3.155E32	28	64	1.350
8.301E8	3.029E26	5.000E32	28	64	1.346
1.045E9	4.129E26	6.294E32	28	64	1.344
1.316E9	5.036E26	7.924E32	34	84	1.343
1.657E9	6.860E26	9.976E32	34	84	1.342
2.626E9	1.272E27	1.581E33	34	84	1.340
4.164E9	2.356E27	2.506E33	34	84	1.338
6.601E9	4.362E27	3.972E33	34	84	1.337
8.312E9	5.662E27	5.000E33	32	82	1.336
1.046E10	7.702E27	6.294E33	32	82	1.336
1.318E10	1.048E28	7.924E33	32	82	1.336
1.659E10	1.425E28	9.976E33	32	82	1.335
2.090E10	1.938E28	1.256E34	32	82	1.335
2.631E10	2.503E28	1.581E34	30	80	1.335
3.313E10	3.404E28	1.990E34	30	80	1.335
4.172E10	4.628E28	2.506E34	30	80	1.334
5.254E10	5.949E28	3.155E34	28	78	1.334
6.617E10	8.089E28	3.972E34	28	78	1.334
8.332E10	1.100E29	5.000E34	28	78	1.334
1.049E11	1.495E29	6.294E34	28	78	1.334
1.322E11	2.033E29	7.924E34	28	78	1.334
1.664E11	2.597E29	9.976E34	26	76	1.334
1.844E11	2.892E29	1.105E35	42	124	1.334
2.096E11	3.290E29	1.256E35	40	122	1.334
2.640E11	4.473E29	1.581E35	40	122	1.334
3.325E11	5.816E29	1.990E35	38	120	1.334
4.188E11	7.538E29	2.506E35	36	118	1.334
4.299E11	7.805E29	2.572E35	36	118	1.334
4.460E11	7.890E29	2.670E35	40	126	0.40
5.228E11	8.352E29	3.126E35	40	128	0.36
6.610E11	9.098E29	3.951E35	40	130	0.40
7.964E11	9.831E29	4.759E35	41	132	0.46
9.728E11	1.083E30	5.812E35	41	135	0.54
1.196E12	1.218E30	7.143E35	42	137	0.63
1.471E12	1.399E30	8.786E35	42	140	0.73
1.805E12	1.638E30	1.077E36	43	142	0.83
2.202E12	1.950E30	1.314E36	43	146	0.93
2.930E12	2.592E30	1.748E36	44	151	1.06
3.833E12	3.506E30	2.287E36	45	156	1.17
4.933E12	4.771E30	2.942E36	46	163	1.25
6.248E12	6.481E30	3.726E36	48	170	1.31
7.801E12	8.748E30	4.650E36	49	178	1.36
9.611E12	1.170E31	5.728E36	50	186	1.39
1.246E13	1.695E31	7.424E36	52	200	1.43
1.496E13	2.209E31	8.907E36	54	211	1.44
1.778E13	2.848E31	1.059E37	56	223	1.46
2.210E13	3.931E31	1.315E37	58	241	1.47
2.988E13	6.178E31	1.777E37	63	275	1.49
3.767E13	8.774E31	2.239E37	67	311	1.51
5.081E13	1.386E32	3.017E37	74	375	1.53
6.193E13	1.882E32	3.675E37	79	435	1.54
7.732E13	2.662E32	4.585E37	88	529	1.56
9.826E13	3.897E32	5.821E37	100	683	1.60
1.262E14	5.861E32	7.468E37	117	947	1.65
1.586E14	8.595E32	9.371E37	143	1390	1.70
2.004E14	1.286E33	1.182E38	201	2500	1.74
2.520E14	1.900E33	1.484E38	0	0	1.81
2.761E14	2.242E33	1.625E38	0	0	1.82
3.085E14	2.751E33	1.814E38	0	0	1.87
3.433E14	3.369E33	2.017E38	0	0	1.92
3.885E14	4.286E33	2.280E38	0	0	1.97
4.636E14	6.103E33	2.715E38	0	0	2.03
5.094E14	7.391E33	2.979E38	0	0	2.05
